poradi,jmeno,body,celkem,vitezstvi,uspesnost
41.,Pany,0,18,9,50%
42.,JCVD,0,6,1,17%
43.,Amroth_CZ,0,80,58,73%
44.,PoloShock,0,36,21,58%
45.,Heibgd,0,16,9,56%
46.,ToxxicCloud,0,7,4,57%
47.,lyk,0,87,60,69%
48.,Bùh,0,150,78,52%
49.,Kisane,0,401,160,40%
50.,snydlich,0,8,3,38%
51.,BOMBARDO,0,12,7,58%
52.,Haklbery,0,82,45,55%
53.,Nethos,0,185,109,59%
54.,Matian,0,135,67,50%
55.,Mazlinka,0,19,13,68%
56.,Siam,0,1486,675,45%
57.,Paolos,0,642,231,36%
58.,Sinister23,0,14,5,36%
59.,Jess,0,49,39,80%
60.,CD Cido,0,63,43,68%
61.,Antony,0,1149,751,65%
62.,ijantis,0,4,2,50%
63.,Imperial,0,13,5,38%
64.,davidrohusch,0,16,2,13%
65.,Ester,0,199,136,68%
66.,Papaschka HW,0,13,12,92%
67.,Pestilence,0,9,3,33%
68.,CD lavino,0,222,119,54%
69.,Jakbe,0,155,107,69%
70.,marge,0,54,22,41%
71.,Gannicus,0,26,15,58%
72.,vQv,0,18,9,50%
73.,Barrandacek,0,15,3,20%
74.,Demon,0,166,59,36%
75.,103 pes,0,33,20,61%
76.,Twister,0,519,272,52%
77.,Marian  Hero,0,15,8,53%
78.,Empair,0,10,3,30%
79.,Bodyguard,0,22,5,23%
80.,Kotletka,0,148,34,23%
